
C:\Users\Yatu\Documents\UCL\3rd Year\Project\ONE 1.6\the-one-1.6.0>java -Xmx512M -cp .;lib/ECLA.jar;lib/DTNConsoleConnection.jar core.DTNSim -b 
Run 1/1
Running simulation 'EnergyAwareSAWRouter_Scenario'
60.0 4514: 75.21 1/s
120.0 7245: 45.51 1/s
180.1 10070: 47.07 1/s
240.1 12882: 46.86 1/s
300.1 15697: 46.91 1/s
360.1 18601: 48.39 1/s
420.1 21539: 48.96 1/s
480.1 24212: 44.55 1/s
540.1 27032: 46.99 1/s
600.1 30007: 49.58 1/s
660.1 33025: 50.29 1/s
720.1 36127: 51.69 1/s
780.1 39384: 54.28 1/s
840.1 42735: 55.84 1/s
900.3 46048: 55.07 1/s
960.3 49414: 56.10 1/s
1020.3 52910: 58.25 1/s
1080.3 56376: 57.76 1/s
1140.4 59684: 55.12 1/s
1200.4 63184: 58.32 1/s
1260.4 66597: 56.88 1/s
1320.4 69917: 55.33 1/s
1380.4 73394: 57.94 1/s
1440.4 77018: 60.39 1/s
1500.4 80536: 58.63 1/s
1560.4 83904: 56.12 1/s
1606.1 86400: 54.67 1/s
Simulation done in 1605.28s
---
All done in 1608.42s
