
C:\Users\Yatu\Documents\UCL\3rd Year\Project\ONE 1.6\the-one-1.6.0>java -Xmx512M -cp .;lib/ECLA.jar;lib/DTNConsoleConnection.jar core.DTNSim -b 
Run 1/1
Running simulation 'SAWRouter_NoEnergy_Scenario'
60.0 5333: 88.87 1/s
120.0 8825: 58.19 1/s
180.0 12152: 55.45 1/s
240.0 15087: 48.92 1/s
300.0 17826: 45.65 1/s
360.0 20614: 46.46 1/s
420.0 23903: 54.81 1/s
480.0 27050: 52.44 1/s
540.1 30105: 50.91 1/s
600.1 33186: 51.34 1/s
660.1 36310: 52.06 1/s
720.1 39498: 53.12 1/s
780.1 42761: 54.36 1/s
840.1 46132: 56.17 1/s
900.1 49598: 57.75 1/s
960.2 52863: 54.41 1/s
1020.2 56516: 60.88 1/s
1080.2 60226: 61.82 1/s
1140.2 63796: 59.49 1/s
1200.2 67394: 59.96 1/s
1260.2 70996: 60.02 1/s
1320.2 74706: 61.83 1/s
1380.2 78366: 60.99 1/s
1440.2 82010: 60.72 1/s
1500.2 85481: 57.85 1/s
1516.5 86400: 56.34 1/s
Simulation done in 1515.72s
---
All done in 1518.34s
