# messageDelay  cumulativeProbability
2.1000 0.0007
2.1000 0.0014
2.1000 0.0021
2.2000 0.0027
2.3000 0.0034
2.3000 0.0041
2.4000 0.0048
2.7000 0.0055
2.7000 0.0062
2.9000 0.0068
2.9000 0.0075
3.0000 0.0082
3.0000 0.0089
3.0000 0.0096
3.2000 0.0103
3.2000 0.0110
3.4000 0.0116
3.4000 0.0123
3.4000 0.0130
3.5000 0.0137
3.6000 0.0144
3.7000 0.0151
3.7000 0.0157
3.7000 0.0164
3.7000 0.0171
3.8000 0.0178
3.8000 0.0185
3.8000 0.0192
3.9000 0.0198
4.0000 0.0205
7.0000 0.0212
8.2000 0.0219
10.5000 0.0226
14.2000 0.0233
14.6000 0.0240
21.9000 0.0246
24.1000 0.0253
26.4000 0.0260
29.9000 0.0267
33.7000 0.0274
33.9000 0.0281
39.1000 0.0287
41.5000 0.0294
41.5000 0.0301
49.1000 0.0308
51.7000 0.0315
52.3000 0.0322
58.0000 0.0329
58.5000 0.0335
60.1000 0.0342
60.1000 0.0349
60.2000 0.0356
62.0000 0.0363
63.0000 0.0370
65.3000 0.0376
65.4000 0.0383
67.5000 0.0390
70.4000 0.0397
71.5000 0.0404
74.0000 0.0411
75.5000 0.0418
81.3000 0.0424
81.7000 0.0431
82.0000 0.0438
86.5000 0.0445
90.5000 0.0452
91.0000 0.0459
92.4000 0.0465
93.3000 0.0472
102.3000 0.0479
102.7000 0.0486
102.8000 0.0493
104.4000 0.0500
104.9000 0.0507
107.8000 0.0513
109.2000 0.0520
116.6000 0.0527
117.2000 0.0534
117.8000 0.0541
121.2000 0.0548
124.9000 0.0554
128.1000 0.0561
128.2000 0.0568
133.8000 0.0575
134.5000 0.0582
135.6000 0.0589
136.4000 0.0595
137.9000 0.0602
144.4000 0.0609
145.0000 0.0616
147.3000 0.0623
150.7000 0.0630
152.3000 0.0637
154.6000 0.0643
161.3000 0.0650
161.6000 0.0657
163.1000 0.0664
164.3000 0.0671
167.2000 0.0678
167.4000 0.0684
167.4000 0.0691
168.7000 0.0698
172.0000 0.0705
178.1000 0.0712
180.0000 0.0719
186.0000 0.0726
195.3000 0.0732
197.7000 0.0739
201.3000 0.0746
203.2000 0.0753
207.5000 0.0760
207.8000 0.0767
209.7000 0.0773
214.7000 0.0780
216.2000 0.0787
219.4000 0.0794
220.5000 0.0801
221.5000 0.0808
221.8000 0.0815
230.3000 0.0821
233.5000 0.0828
234.4000 0.0835
237.2000 0.0842
239.7000 0.0849
244.6000 0.0856
246.0000 0.0862
247.1000 0.0869
250.6000 0.0876
255.0000 0.0883
256.2000 0.0890
256.5000 0.0897
262.8000 0.0903
269.5000 0.0910
270.2000 0.0917
274.5000 0.0924
275.1000 0.0931
277.3000 0.0938
278.1000 0.0945
278.5000 0.0951
280.1000 0.0958
282.4000 0.0965
286.3000 0.0972
288.2000 0.0979
291.9000 0.0986
292.9000 0.0992
299.9000 0.0999
301.3000 0.1006
303.5000 0.1013
304.3000 0.1020
304.7000 0.1027
305.5000 0.1034
312.2000 0.1040
313.0000 0.1047
315.1000 0.1054
320.5000 0.1061
329.2000 0.1068
329.7000 0.1075
335.4000 0.1081
336.2000 0.1088
339.5000 0.1095
345.0000 0.1102
346.9000 0.1109
348.6000 0.1116
351.0000 0.1123
353.1000 0.1129
363.4000 0.1136
366.3000 0.1143
374.4000 0.1150
374.6000 0.1157
375.6000 0.1164
378.8000 0.1170
379.9000 0.1177
384.1000 0.1184
395.0000 0.1191
398.5000 0.1198
403.8000 0.1205
404.1000 0.1211
405.9000 0.1218
408.7000 0.1225
413.4000 0.1232
418.2000 0.1239
420.5000 0.1246
425.7000 0.1253
428.4000 0.1259
438.8000 0.1266
440.5000 0.1273
440.9000 0.1280
448.5000 0.1287
458.8000 0.1294
461.1000 0.1300
465.0000 0.1307
466.2000 0.1314
471.6000 0.1321
474.6000 0.1328
483.3000 0.1335
487.1000 0.1342
487.5000 0.1348
489.6000 0.1355
494.7000 0.1362
500.6000 0.1369
503.0000 0.1376
506.6000 0.1383
510.5000 0.1389
512.2000 0.1396
516.8000 0.1403
519.1000 0.1410
523.2000 0.1417
527.2000 0.1424
531.8000 0.1431
537.9000 0.1437
540.0000 0.1444
544.3000 0.1451
545.4000 0.1458
547.3000 0.1465
550.3000 0.1472
550.7000 0.1478
557.0000 0.1485
560.9000 0.1492
562.8000 0.1499
570.2000 0.1506
578.8000 0.1513
579.6000 0.1520
580.8000 0.1526
581.4000 0.1533
596.7000 0.1540
601.2000 0.1547
607.9000 0.1554
608.1000 0.1561
612.6000 0.1567
618.6000 0.1574
621.6000 0.1581
625.0000 0.1588
627.5000 0.1595
630.1000 0.1602
631.9000 0.1608
635.5000 0.1615
639.8000 0.1622
640.6000 0.1629
642.0000 0.1636
646.1000 0.1643
646.9000 0.1650
648.9000 0.1656
649.9000 0.1663
652.4000 0.1670
660.6000 0.1677
668.5000 0.1684
673.3000 0.1691
674.9000 0.1697
676.6000 0.1704
695.6000 0.1711
703.5000 0.1718
708.1000 0.1725
712.2000 0.1732
713.4000 0.1739
716.2000 0.1745
717.3000 0.1752
719.1000 0.1759
726.7000 0.1766
730.9000 0.1773
733.9000 0.1780
741.3000 0.1786
742.0000 0.1793
742.7000 0.1800
742.7000 0.1807
742.8000 0.1814
743.0000 0.1821
745.9000 0.1828
747.0000 0.1834
750.3000 0.1841
751.5000 0.1848
752.1000 0.1855
754.3000 0.1862
754.7000 0.1869
755.5000 0.1875
761.8000 0.1882
765.8000 0.1889
769.0000 0.1896
770.2000 0.1903
772.8000 0.1910
776.0000 0.1916
780.4000 0.1923
793.1000 0.1930
796.3000 0.1937
798.8000 0.1944
805.4000 0.1951
806.0000 0.1958
822.3000 0.1964
825.9000 0.1971
826.4000 0.1978
826.9000 0.1985
830.3000 0.1992
833.3000 0.1999
834.8000 0.2005
838.2000 0.2012
840.3000 0.2019
840.4000 0.2026
840.6000 0.2033
849.9000 0.2040
851.5000 0.2047
855.3000 0.2053
860.0000 0.2060
869.0000 0.2067
870.6000 0.2074
872.1000 0.2081
872.4000 0.2088
873.5000 0.2094
886.5000 0.2101
886.9000 0.2108
889.4000 0.2115
890.3000 0.2122
