# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
44.7000 M1 618834 3 12.7000 p14 p13 299 N p14->c78->c70->p13
238.0000 M3 968122 10 154.0000 t123 p6 297 N t123->c55->w103->c43->w119->c49->c58->c65->c48->c44->p6
246.6000 M2 977273 13 188.6000 c76 w110 296 N c76->c55->w103->c49->w113->t124->p4->c62->c79->c56->w90->c74->w98->w110
388.8000 M7 612010 9 185.8000 c46 c78 296 N c46->p4->t120->p24->w119->w89->p9->c57->t121->c78
399.2000 M5 874671 12 255.2000 c54 w101 295 N c54->p39->p13->c57->c78->c48->c79->c65->c49->t125->w113->c43->w101
445.8000 M9 587686 7 180.8000 p26 w93 296 N p26->p5->p19->c56->w110->w107->w80->w93
479.6000 M16 875016 3 15.6000 c65 p29 299 N c65->c64->p1->p29
596.6000 M19 580040 2 39.6000 w88 w91 299 N w88->c48->w91
625.1000 M8 913877 6 392.1000 w97 c48 293 N w97->c56->w110->w107->p30->c57->c48
865.5000 M12 545086 9 520.5000 c52 c62 291 N c52->c76->p6->c79->w119->p9->w89->p25->w89->c62
956.3000 M11 562047 12 636.3000 c40 p13 289 N c40->p3->w119->c79->w113->t123->w113->c77->c42->p36->c42->p36->p13
969.5000 M14 720934 7 564.5000 c71 w91 290 N c71->p26->p5->t120->p7->p22->c47->w91
1153.3000 M10 863541 17 862.3000 c75 p23 285 N c75->p15->w101->p0->c72->p13->c79->w113->w84->c72->w85->w109->c70->w113->c79->w82->c79->p23
1233.2000 M29 639593 9 381.2000 w115 c75 293 N w115->p6->c64->p14->p6->p32->c43->w81->p9->c75
1319.4000 M6 661032 26 1149.4000 p33 w90 280 N p33->c75->c59->p28->p32->p14->w108->c79->p6->p13->p36->c41->c58->c43->w88->w119->p25->w89->c62->c41->c53->p0->p39->c66->c41->c66->w90
1379.4000 M41 838158 4 163.4000 p6 c46 297 N p6->p14->c45->p33->c46
1419.9000 M21 519301 12 810.9000 w80 c63 286 N w80->w110->w93->c48->p39->c48->c67->w116->c62->c58->p6->c58->c63
1489.3000 M15 991397 9 1058.3000 t122 w91 282 N t122->w92->p11->w111->p5->p2->p16->c49->p0->w91
1738.1000 M43 596711 10 457.1000 p27 c79 292 N p27->w119->c46->p27->p33->c59->p33->c50->p14->w112->c79
1780.3000 M32 531670 6 835.3000 p2 c48 286 N p2->p5->p2->c67->w84->t120->c48
1790.1000 M42 889225 7 541.1000 w113 p36 290 N w113->w82->c74->w85->w82->t124->c56->p36
1910.6000 M45 506581 3 565.6000 p37 p25 290 N p37->t121->p14->p25
1929.1000 M22 854050 16 1289.1000 c77 t123 278 N c77->w92->w95->w81->w108->p13->p32->w101->p13->c56->p9->c47->c72->w81->c60->c57->t123
2022.3000 M13 693107 23 1643.3000 w96 w98 272 N w96->p27->w96->p10->p27->p10->w96->p10->w96->p10->w96->p10->w110->p10->w110->p28->c48->w87->c67->p6->p33->w87->c62->w98
2057.7000 M66 762094 3 84.7000 w87 p21 298 N w87->w112->w118->p21
2303.7000 M77 598670 1 5.7000 c46 p33 299 N c46->p33
2686.5000 M49 955987 13 1221.5000 w85 c79 279 N w85->w90->p11->t123->t122->p2->c44->w117->c63->c64->t124->c58->w102->c79
2839.7000 M75 838158 8 600.7000 p25 t123 289 N p25->c51->p29->p1->p36->c64->t124->t122->t123
2863.0000 M83 619743 1 386.0000 p16 p15 293 N p16->p15
2866.6000 M80 626408 11 479.6000 w87 c51 292 N w87->w118->c79->p20->p33->c47->p21->c48->p33->c47->c76->c51
2993.0000 M74 766315 3 779.0000 p6 c41 287 N p6->w91->c53->c41
3095.0000 M18 640222 16 2572.0000 c40 p15 257 N c40->c50->c44->c61->w96->c44->c60->p28->c67->p6->p33->p6->w111->c71->w96->c68->p15
3483.2000 M76 892737 5 1213.2000 t122 w106 279 N t122->w98->t123->t125->c71->w106
3533.7000 M87 990325 4 940.7000 p34 t121 284 N p34->c51->w99->c79->t121
3638.8000 M70 766484 1 1547.8000 p24 c49 274 N p24->c49
3775.4000 M52 891919 21 2215.4000 c44 w106 263 N c44->w96->w118->w93->p28->w93->p28->p39->w84->p39->w93->w91->w84->c67->c71->t120->t125->w117->p11->w117->t124->w106
3834.2000 M110 839088 5 546.2000 c77 p39 290 N c77->t120->t125->w85->c48->p39
3906.6000 M61 640531 14 2080.6000 w119 c54 265 N w119->c67->p12->p4->c57->c70->p12->w84->w112->w93->p12->c50->p13->c52->c54
3950.2000 M109 922600 2 689.2000 w114 p14 288 N w114->t124->p14
4074.9000 M121 987656 7 458.9000 c76 p1 292 N c76->p35->w104->p21->p35->c54->w94->p1
4104.7000 M89 616020 7 1444.7000 w84 c61 275 N w84->w91->c53->c71->t120->t125->t122->c61
4146.2000 M114 785174 4 737.2000 w87 t120 287 N w87->p27->w118->t125->t120
4175.9000 M134 934226 4 184.9000 p10 p34 296 N p10->c50->c51->t123->p34
4627.5000 M48 884863 7 3190.5000 w92 c73 246 N w92->t124->w97->t125->p14->c71->p3->c73
4678.5000 M125 717958 9 944.5000 t124 p26 284 N t124->t125->c64->w95->w118->w95->w82->c62->c56->p26
4820.4000 M36 612761 31 3760.4000 w114 w111 237 N w114->c69->t121->c64->p10->c52->p16->c41->w98->t124->t122->p39->w118->c59->p27->w95->p27->c45->c66->p10->c46->p17->p6->p17->p20->p12->p8->w113->w104->p15->c68->w111
