# messageDelay  cumulativeProbability
3.5000 0.0029
5.7000 0.0059
9.8000 0.0088
12.7000 0.0118
15.6000 0.0147
18.7000 0.0177
20.4000 0.0206
23.5000 0.0236
39.6000 0.0265
84.7000 0.0295
154.0000 0.0324
163.4000 0.0354
180.8000 0.0383
184.9000 0.0413
185.8000 0.0442
188.6000 0.0472
255.2000 0.0501
263.5000 0.0531
271.6000 0.0560
272.4000 0.0590
332.7000 0.0619
343.1000 0.0649
350.8000 0.0678
373.2000 0.0708
381.2000 0.0737
386.0000 0.0767
392.1000 0.0796
393.2000 0.0826
457.1000 0.0855
458.9000 0.0885
479.6000 0.0914
511.0000 0.0944
520.5000 0.0973
541.1000 0.1003
546.2000 0.1032
564.5000 0.1062
565.6000 0.1091
590.8000 0.1121
600.7000 0.1150
636.3000 0.1180
689.2000 0.1209
698.5000 0.1239
723.0000 0.1268
731.7000 0.1298
731.9000 0.1327
734.2000 0.1357
737.2000 0.1386
778.1000 0.1416
779.0000 0.1445
786.4000 0.1475
810.9000 0.1504
835.3000 0.1534
862.3000 0.1563
868.4000 0.1593
933.7000 0.1622
940.7000 0.1652
944.5000 0.1681
1034.1000 0.1711
1058.3000 0.1740
1149.4000 0.1770
1213.2000 0.1799
1221.5000 0.1829
1262.0000 0.1858
1282.0000 0.1888
1289.1000 0.1917
1307.1000 0.1947
1444.7000 0.1976
1448.1000 0.2006
1538.7000 0.2035
1547.8000 0.2065
1626.7000 0.2094
1643.3000 0.2124
1851.4000 0.2153
2080.6000 0.2183
2215.4000 0.2212
2356.6000 0.2242
2388.2000 0.2271
2572.0000 0.2301
3190.5000 0.2330
3519.2000 0.2360
3760.4000 0.2389
6513.9000 0.2419
