# time  created  delivered  delivered/created
32.0000 1 0 0.0000
44.7000 1 1 1.0000
58.0000 2 1 0.5000
84.0000 3 1 0.3333
112.0000 4 1 0.2500
144.0000 5 1 0.2000
170.0000 6 1 0.1667
203.0000 7 1 0.1429
233.0000 8 1 0.1250
238.0000 8 2 0.2500
246.6000 8 3 0.3750
265.0000 9 3 0.3333
291.0000 10 3 0.3000
320.0000 11 3 0.2727
345.0000 12 3 0.2500
379.0000 13 3 0.2308
388.8000 13 4 0.3077
399.2000 13 5 0.3846
405.0000 14 5 0.3571
431.0000 15 5 0.3333
445.8000 15 6 0.4000
464.0000 16 6 0.3750
479.6000 16 7 0.4375
498.0000 17 7 0.4118
523.0000 18 7 0.3889
557.0000 19 7 0.3684
582.0000 20 7 0.3500
596.6000 20 8 0.4000
609.0000 21 8 0.3810
625.1000 21 9 0.4286
640.0000 22 9 0.4091
669.0000 23 9 0.3913
698.0000 24 9 0.3750
730.0000 25 9 0.3600
757.0000 26 9 0.3462
785.0000 27 9 0.3333
818.0000 28 9 0.3214
852.0000 29 9 0.3103
865.5000 29 10 0.3448
881.0000 30 10 0.3333
913.0000 31 10 0.3226
945.0000 32 10 0.3125
956.3000 32 11 0.3438
969.5000 32 12 0.3750
976.0000 33 12 0.3636
1007.0000 34 12 0.3529
1035.0000 35 12 0.3429
1060.0000 36 12 0.3333
1092.0000 37 12 0.3243
1121.0000 38 12 0.3158
1153.3000 38 13 0.3421
1154.0000 39 13 0.3333
1184.0000 40 13 0.3250
1216.0000 41 13 0.3171
1233.2000 41 14 0.3415
1249.0000 42 14 0.3333
1281.0000 43 14 0.3256
1313.0000 44 14 0.3182
1319.4000 44 15 0.3409
1345.0000 45 15 0.3333
1378.0000 46 15 0.3261
1379.4000 46 16 0.3478
1411.0000 47 16 0.3404
1419.9000 47 17 0.3617
1437.0000 48 17 0.3542
1465.0000 49 17 0.3469
1489.3000 49 18 0.3673
1498.0000 50 18 0.3600
1528.0000 51 18 0.3529
1560.0000 52 18 0.3462
1586.0000 53 18 0.3396
