# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
44.6000 M1 618834 2 12.6000 p14 p13 299 N p14->c70->p13
237.0000 M3 968122 9 153.0000 t123 p6 297 N t123->c55->w103->c43->w119->c49->c58->c65->c44->p6
246.1000 M2 977273 13 188.1000 c76 w110 296 N c76->c55->w103->c49->w113->t124->p4->c62->c51->c56->w90->c74->w98->w110
333.7000 M7 612010 8 130.7000 c46 c78 297 N c46->p24->w119->w89->c47->c45->c43->c54->c78
392.6000 M5 874671 10 248.6000 c54 w101 295 N c54->p39->p13->c57->c65->c49->t125->c59->c75->c43->w101
444.2000 M9 587686 5 179.2000 p26 w93 297 N p26->p5->p38->c56->w80->w93
467.4000 M11 562047 6 147.4000 c40 p13 297 N c40->c53->w95->c76->p6->c49->p13
476.9000 M16 875016 3 12.9000 c65 p29 299 N c65->c64->p1->p29
566.3000 M14 720934 1 161.3000 c71 w91 297 N c71->w91
624.9000 M8 913877 7 391.9000 w97 c48 293 N w97->c56->w98->c55->c57->p31->c57->c48
680.3000 M6 661032 15 510.3000 p33 w90 291 N p33->c75->w101->c72->c69->p28->p32->p14->w108->p13->c79->p9->p25->c74->c65->w90
855.5000 M10 863541 17 564.5000 c75 p23 290 N c75->p15->w101->p0->c72->c66->p13->c72->w92->w115->w81->c60->w115->w81->w95->c42->p17->p23
876.7000 M24 559729 6 178.7000 c57 p11 297 N c57->c49->p0->c55->p4->w99->p11
1093.3000 M15 991397 6 662.3000 t122 w91 288 N t122->w83->p37->w83->w105->t121->w91
1455.6000 M38 698725 7 334.6000 w91 c55 294 N w91->c64->c45->c69->c73->c52->p24->c55
1826.8000 M39 983915 16 672.8000 p17 c73 288 N p17->w81->p9->c70->p23->p32->c56->w99->c77->c57->c60->c77->w81->p20->c57->c49->c73
2062.1000 M66 762094 3 89.1000 w87 p21 298 N w87->w112->p4->p21
2151.0000 M51 797770 5 623.0000 p5 c53 289 N p5->w92->t124->t123->t121->c53
2233.5000 M72 625366 2 81.5000 c78 p18 298 N c78->c74->p18
2274.9000 M57 601479 4 567.9000 c43 t121 290 N c43->p31->w103->c48->t121
2302.3000 M77 598670 1 4.3000 c46 p33 299 N c46->p33
2425.1000 M44 568074 11 1112.1000 c66 c52 281 N c66->w90->t125->t124->c49->p5->c49->w81->w108->p25->w94->c52
2856.9000 M83 619743 1 379.9000 p16 p15 293 N p16->p15
2958.5000 M64 679024 11 1043.5000 w87 c75 282 N w87->c62->c46->c64->p0->w98->t121->p7->c44->c42->w80->c75
3060.6000 M95 563385 6 210.6000 w92 c77 296 N w92->c70->p18->w105->c70->p20->c77
3466.3000 M53 883685 11 1880.3000 w102 w111 268 N w102->t123->t124->c40->p7->c55->c77->p19->c56->c55->w91->w111
3618.0000 M76 892737 1 1348.0000 t122 w106 277 N t122->w106
3628.2000 M70 766484 1 1537.2000 p24 c49 274 N p24->c49
