# messageDelay  cumulativeProbability
2.8000 0.0007
3.0000 0.0014
3.2000 0.0021
3.5000 0.0027
3.8000 0.0034
4.3000 0.0041
5.2000 0.0048
5.4000 0.0055
6.0000 0.0062
8.4000 0.0068
10.1000 0.0075
12.6000 0.0082
12.9000 0.0089
14.2000 0.0096
14.9000 0.0103
16.5000 0.0110
16.5000 0.0116
17.1000 0.0123
17.2000 0.0130
17.4000 0.0137
17.7000 0.0144
18.3000 0.0151
19.4000 0.0157
20.4000 0.0164
21.0000 0.0171
23.7000 0.0178
24.1000 0.0185
27.7000 0.0192
36.6000 0.0198
43.2000 0.0205
49.2000 0.0212
50.2000 0.0219
60.1000 0.0226
61.1000 0.0233
65.3000 0.0240
66.9000 0.0246
71.5000 0.0253
74.1000 0.0260
76.7000 0.0267
81.5000 0.0274
82.8000 0.0281
83.7000 0.0287
89.1000 0.0294
92.4000 0.0301
102.9000 0.0308
106.2000 0.0315
107.7000 0.0322
109.9000 0.0329
119.5000 0.0335
120.2000 0.0342
122.6000 0.0349
123.2000 0.0356
130.7000 0.0363
130.9000 0.0370
136.7000 0.0376
147.0000 0.0383
147.4000 0.0390
147.6000 0.0397
147.8000 0.0404
147.8000 0.0411
148.0000 0.0418
153.0000 0.0424
154.6000 0.0431
161.3000 0.0438
164.4000 0.0445
178.7000 0.0452
179.2000 0.0459
188.1000 0.0465
189.5000 0.0472
193.4000 0.0479
195.0000 0.0486
195.7000 0.0493
197.7000 0.0500
203.0000 0.0507
207.3000 0.0513
210.6000 0.0520
218.2000 0.0527
222.5000 0.0534
224.4000 0.0541
224.7000 0.0548
229.3000 0.0554
243.7000 0.0561
247.1000 0.0568
247.9000 0.0575
248.6000 0.0582
250.3000 0.0589
251.1000 0.0595
251.7000 0.0602
255.0000 0.0609
257.7000 0.0616
262.1000 0.0623
275.6000 0.0630
278.5000 0.0637
291.6000 0.0643
302.5000 0.0650
302.7000 0.0657
317.9000 0.0664
323.0000 0.0671
323.4000 0.0678
324.0000 0.0684
326.1000 0.0691
329.9000 0.0698
334.6000 0.0705
334.7000 0.0712
339.0000 0.0719
345.8000 0.0726
346.5000 0.0732
354.3000 0.0739
356.8000 0.0746
365.3000 0.0753
368.0000 0.0760
379.0000 0.0767
379.9000 0.0773
379.9000 0.0780
380.7000 0.0787
381.0000 0.0794
386.6000 0.0801
386.6000 0.0808
391.2000 0.0815
391.9000 0.0821
397.7000 0.0828
399.8000 0.0835
400.2000 0.0842
405.0000 0.0849
411.9000 0.0856
412.6000 0.0862
443.2000 0.0869
448.3000 0.0876
450.1000 0.0883
454.6000 0.0890
459.2000 0.0897
473.0000 0.0903
475.9000 0.0910
479.1000 0.0917
490.6000 0.0924
490.8000 0.0931
493.4000 0.0938
498.6000 0.0945
505.2000 0.0951
506.8000 0.0958
510.3000 0.0965
516.7000 0.0972
519.8000 0.0979
534.6000 0.0986
538.9000 0.0992
541.4000 0.0999
543.8000 0.1006
564.5000 0.1013
565.5000 0.1020
567.2000 0.1027
567.9000 0.1034
569.4000 0.1040
572.0000 0.1047
583.9000 0.1054
596.9000 0.1061
605.9000 0.1068
623.0000 0.1075
629.5000 0.1081
630.1000 0.1088
630.2000 0.1095
639.6000 0.1102
655.8000 0.1109
657.5000 0.1116
662.3000 0.1123
672.8000 0.1129
683.9000 0.1136
691.9000 0.1143
694.6000 0.1150
696.0000 0.1157
707.6000 0.1164
712.6000 0.1170
725.6000 0.1177
730.8000 0.1184
734.1000 0.1191
771.0000 0.1198
782.4000 0.1205
788.6000 0.1211
790.6000 0.1218
802.4000 0.1225
803.6000 0.1232
814.0000 0.1239
835.8000 0.1246
839.7000 0.1253
851.0000 0.1259
867.1000 0.1266
870.2000 0.1273
877.9000 0.1280
893.7000 0.1287
893.8000 0.1294
904.3000 0.1300
907.3000 0.1307
914.6000 0.1314
917.4000 0.1321
922.1000 0.1328
927.2000 0.1335
933.7000 0.1342
934.4000 0.1348
936.2000 0.1355
939.9000 0.1362
955.1000 0.1369
956.2000 0.1376
960.0000 0.1383
967.2000 0.1389
972.2000 0.1396
977.1000 0.1403
978.6000 0.1410
985.0000 0.1417
992.8000 0.1424
998.3000 0.1431
1000.0000 0.1437
1002.7000 0.1444
1004.0000 0.1451
1031.4000 0.1458
1032.7000 0.1465
1037.0000 0.1472
1038.6000 0.1478
1041.9000 0.1485
1043.1000 0.1492
1043.5000 0.1499
1051.0000 0.1506
1054.4000 0.1513
1058.5000 0.1520
1065.5000 0.1526
1074.3000 0.1533
1076.1000 0.1540
1082.3000 0.1547
1087.5000 0.1554
1096.6000 0.1561
1098.8000 0.1567
1110.2000 0.1574
1112.1000 0.1581
1135.3000 0.1588
1147.0000 0.1595
1211.3000 0.1602
1235.3000 0.1608
1266.6000 0.1615
1266.8000 0.1622
1281.6000 0.1629
1290.6000 0.1636
1295.8000 0.1643
1348.0000 0.1650
1354.0000 0.1656
1373.7000 0.1663
1381.9000 0.1670
1383.7000 0.1677
1392.2000 0.1684
1401.8000 0.1691
1409.3000 0.1697
1423.5000 0.1704
1433.3000 0.1711
1437.4000 0.1718
1455.7000 0.1725
1487.4000 0.1732
1489.1000 0.1739
1532.6000 0.1745
1537.2000 0.1752
1545.7000 0.1759
1549.7000 0.1766
1573.3000 0.1773
1576.0000 0.1780
1586.5000 0.1786
1619.9000 0.1793
1622.9000 0.1800
1626.1000 0.1807
1648.0000 0.1814
1654.2000 0.1821
1662.4000 0.1828
1665.2000 0.1834
1708.7000 0.1841
1722.2000 0.1848
1731.7000 0.1855
1779.3000 0.1862
1782.3000 0.1869
1783.6000 0.1875
1799.1000 0.1882
1799.1000 0.1889
1880.3000 0.1896
1914.6000 0.1903
1915.0000 0.1910
1918.2000 0.1916
1941.3000 0.1923
1991.7000 0.1930
2003.6000 0.1937
2015.2000 0.1944
2030.2000 0.1951
2037.8000 0.1958
2051.9000 0.1964
2070.6000 0.1971
2108.9000 0.1978
2121.0000 0.1985
2122.2000 0.1992
2129.1000 0.1999
2137.3000 0.2005
2164.2000 0.2012
2197.7000 0.2019
2225.7000 0.2026
2260.4000 0.2033
2313.2000 0.2040
2346.2000 0.2047
2384.8000 0.2053
2387.5000 0.2060
2426.4000 0.2067
2435.8000 0.2074
2530.6000 0.2081
2547.5000 0.2088
2578.7000 0.2094
2587.1000 0.2101
2635.3000 0.2108
2652.3000 0.2115
2664.5000 0.2122
2669.8000 0.2129
2693.0000 0.2136
2731.2000 0.2142
2773.2000 0.2149
2781.5000 0.2156
2785.0000 0.2163
2788.0000 0.2170
2854.7000 0.2177
2869.5000 0.2183
2871.5000 0.2190
2939.3000 0.2197
2948.0000 0.2204
2973.4000 0.2211
2991.5000 0.2218
2997.1000 0.2225
3000.4000 0.2231
3000.8000 0.2238
3023.6000 0.2245
3173.6000 0.2252
3280.5000 0.2259
3301.4000 0.2266
3408.2000 0.2272
3466.6000 0.2279
3503.5000 0.2286
3510.6000 0.2293
3515.1000 0.2300
3557.4000 0.2307
3557.4000 0.2313
3559.6000 0.2320
3603.6000 0.2327
3745.9000 0.2334
3811.8000 0.2341
3932.1000 0.2348
4052.6000 0.2355
4320.6000 0.2361
4378.0000 0.2368
4564.8000 0.2375
4636.9000 0.2382
5110.5000 0.2389
5622.8000 0.2396
5645.9000 0.2402
6948.2000 0.2409
8770.4000 0.2416
