# time  created  delivered  delivered/created
32.0000 1 0 0.0000
44.6000 1 1 1.0000
58.0000 2 1 0.5000
84.0000 3 1 0.3333
112.0000 4 1 0.2500
144.0000 5 1 0.2000
170.0000 6 1 0.1667
203.0000 7 1 0.1429
233.0000 8 1 0.1250
237.0000 8 2 0.2500
246.1000 8 3 0.3750
265.0000 9 3 0.3333
291.0000 10 3 0.3000
320.0000 11 3 0.2727
333.7000 11 4 0.3636
345.0000 12 4 0.3333
379.0000 13 4 0.3077
392.6000 13 5 0.3846
405.0000 14 5 0.3571
431.0000 15 5 0.3333
444.2000 15 6 0.4000
464.0000 16 6 0.3750
467.4000 16 7 0.4375
476.9000 16 8 0.5000
498.0000 17 8 0.4706
523.0000 18 8 0.4444
557.0000 19 8 0.4211
566.3000 19 9 0.4737
582.0000 20 9 0.4500
609.0000 21 9 0.4286
624.9000 21 10 0.4762
640.0000 22 10 0.4545
669.0000 23 10 0.4348
680.3000 23 11 0.4783
698.0000 24 11 0.4583
730.0000 25 11 0.4400
757.0000 26 11 0.4231
785.0000 27 11 0.4074
818.0000 28 11 0.3929
852.0000 29 11 0.3793
855.5000 29 12 0.4138
876.7000 29 13 0.4483
881.0000 30 13 0.4333
913.0000 31 13 0.4194
945.0000 32 13 0.4063
976.0000 33 13 0.3939
1007.0000 34 13 0.3824
1035.0000 35 13 0.3714
1060.0000 36 13 0.3611
1092.0000 37 13 0.3514
1093.3000 37 14 0.3784
1121.0000 38 14 0.3684
1154.0000 39 14 0.3590
1184.0000 40 14 0.3500
1216.0000 41 14 0.3415
1249.0000 42 14 0.3333
1281.0000 43 14 0.3256
1313.0000 44 14 0.3182
1345.0000 45 14 0.3111
1378.0000 46 14 0.3043
1411.0000 47 14 0.2979
1437.0000 48 14 0.2917
1455.6000 48 15 0.3125
1465.0000 49 15 0.3061
1498.0000 50 15 0.3000
1528.0000 51 15 0.2941
1560.0000 52 15 0.2885
1586.0000 53 15 0.2830
1617.0000 54 15 0.2778
1646.0000 55 15 0.2727
1677.0000 56 15 0.2679
1707.0000 57 15 0.2632
1739.0000 58 15 0.2586
1769.0000 59 15 0.2542
1801.0000 60 15 0.2500
1826.0000 61 15 0.2459
1826.8000 61 16 0.2623
1855.0000 62 16 0.2581
1888.0000 63 16 0.2540
1915.0000 64 16 0.2500
1944.0000 65 16 0.2462
1973.0000 66 16 0.2424
1998.0000 67 16 0.2388
2025.0000 68 16 0.2353
2059.0000 69 16 0.2319
2062.1000 69 17 0.2464
2091.0000 70 17 0.2429
2124.0000 71 17 0.2394
2151.0000 71 18 0.2535
2152.0000 72 18 0.2500
2182.0000 73 18 0.2466
2214.0000 74 18 0.2432
2233.5000 74 19 0.2568
2239.0000 75 19 0.2533
2270.0000 76 19 0.2500
2274.9000 76 20 0.2632
2298.0000 77 20 0.2597
2302.3000 77 21 0.2727
2332.0000 78 21 0.2692
2362.0000 79 21 0.2658
2387.0000 80 21 0.2625
2420.0000 81 21 0.2593
2425.1000 81 22 0.2716
2450.0000 82 22 0.2683
2477.0000 83 22 0.2651
2502.0000 84 22 0.2619
2533.0000 85 22 0.2588
2565.0000 86 22 0.2558
2593.0000 87 22 0.2529
2627.0000 88 22 0.2500
2660.0000 89 22 0.2472
2691.0000 90 22 0.2444
2724.0000 91 22 0.2418
2756.0000 92 22 0.2391
2789.0000 93 22 0.2366
2820.0000 94 22 0.2340
2850.0000 95 22 0.2316
2856.9000 95 23 0.2421
2881.0000 96 23 0.2396
2909.0000 97 23 0.2371
2938.0000 98 23 0.2347
2958.5000 98 24 0.2449
2965.0000 99 24 0.2424
2990.0000 100 24 0.2400
3022.0000 101 24 0.2376
3054.0000 102 24 0.2353
3060.6000 102 25 0.2451
3081.0000 103 25 0.2427
3114.0000 104 25 0.2404
3140.0000 105 25 0.2381
3165.0000 106 25 0.2358
3199.0000 107 25 0.2336
